slug,name,locality,state,wikipedia_search,wikidata_search,google_search
tamil-nadu-thirumandangudi-kumbakonam-region-sri-renganathar,"Sri Renganathar","Thirumandangudi (Kumbakonam region)","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Sri%20Renganathar%20Thirumandangudi%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Sri%20Renganathar%20Thirumandangudi%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Sri%20Renganathar%20Thirumandangudi%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple
tamil-nadu-kodikkarai-point-calimere-srinivasan,"Srinivasan","Kodikkarai (Point Calimere)","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Srinivasan%20Kodikkarai%20(Point%20Calimere)%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Srinivasan%20Kodikkarai%20(Point%20Calimere)%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Srinivasan%20Kodikkarai%20(Point%20Calimere)%20Tamil%20Nadu%20temple
tamil-nadu-perumpuliyur-kumbakonam-region-sundararaja-perumal,"Sundararaja Perumal","Perumpuliyur (Kumbakonam region)","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Sundararaja%20Perumal%20Perumpuliyur%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Sundararaja%20Perumal%20Perumpuliyur%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Sundararaja%20Perumal%20Perumpuliyur%20(Kumbakonam%20region)%20Tamil%20Nadu%20temple
tamil-nadu-near-pattukkottai-thillai-vilagam-ranganatha-perumal,"Thillai Vilagam Ranganatha Perumal","Near Pattukkottai","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Thillai%20Vilagam%20Ranganatha%20Perumal%20Near%20Pattukkottai%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Thillai%20Vilagam%20Ranganatha%20Perumal%20Near%20Pattukkottai%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Thillai%20Vilagam%20Ranganatha%20Perumal%20Near%20Pattukkottai%20Tamil%20Nadu%20temple
divya-desam-thiruaheendrapuram,"ThiruAheendrapuram","","",https://en.wikipedia.org/w/index.php?search=ThiruAheendrapuram%20temple,https://www.wikidata.org/w/index.php?search=ThiruAheendrapuram%20temple,https://www.google.com/search?q=ThiruAheendrapuram%20temple
divya-desam-thiruallikkeni,"ThiruAllikkeni","","",https://en.wikipedia.org/w/index.php?search=ThiruAllikkeni%20temple,https://www.wikidata.org/w/index.php?search=ThiruAllikkeni%20temple,https://www.google.com/search?q=ThiruAllikkeni%20temple
divya-desam-thiruathanoor,"ThiruAthanoor","","",https://en.wikipedia.org/w/index.php?search=ThiruAthanoor%20temple,https://www.wikidata.org/w/index.php?search=ThiruAthanoor%20temple,https://www.google.com/search?q=ThiruAthanoor%20temple
divya-desam-thiruattabuyakaram,"ThiruAttabuyakaram","","",https://en.wikipedia.org/w/index.php?search=ThiruAttabuyakaram%20temple,https://www.wikidata.org/w/index.php?search=ThiruAttabuyakaram%20temple,https://www.google.com/search?q=ThiruAttabuyakaram%20temple
divya-desam-thiruayodhi,"ThiruAyodhi","","",https://en.wikipedia.org/w/index.php?search=ThiruAyodhi%20temple,https://www.wikidata.org/w/index.php?search=ThiruAyodhi%20temple,https://www.google.com/search?q=ThiruAyodhi%20temple
divya-desam-thiruayppaadi,"ThiruAyppaadi","","",https://en.wikipedia.org/w/index.php?search=ThiruAyppaadi%20temple,https://www.wikidata.org/w/index.php?search=ThiruAyppaadi%20temple,https://www.google.com/search?q=ThiruAyppaadi%20temple
